 6 9 2 | 8 4 1 | 3 5 7
 7 4 5 | 3 9 6 | 1 8 2
 1 8 3 | 7 5 2 | 4 6 9
 ------|-------|------
 8 2 7 | 6 1 3 | 9 4 5
 3 6 4 | 5 2 9 | 8 7 1
 9 5 1 | 4 7 8 | 6 2 3
 ------|-------|------
 4 1 6 | 2 3 5 | 7 9 8
 2 3 8 | 9 6 7 | 5 1 4
 5 7 9 | 1 8 4 | 2 3 6


     2 |       | 3 5  
       |     6 |      
       |       |     9
 ------|-------|------
   2   |     3 |   4  
       | 5     | 8    
       |       | 6 2 3
 ------|-------|------
   1 6 |   3   |   9 8
       |   6   |      
       | 1   4 | 2    
