 7 4 8 | 6 2 1 | 5 9 3
 6 0 3 | 8 4 9 | 2 7 1
 0 9 2 | 3 5 7 | 4 6 8
 ------|-------|------
 8 6 5 | 1 3 4 | 7 2 9
 9 7 1 | 2 6 5 | 8 3 4
 3 2 4 | 7 9 8 | 1 5 6
 ------|-------|------
 4 5 6 | 9 1 2 | 3 8 7
 1 8 9 | 5 7 3 | 6 4 2
 2 3 7 | 4 8 6 | 9 1 5


       |       |      
     3 |   4   |      
       |       |      
 ------|-------|------
       |       |      
       |       |      
       |   9 8 |      
 ------|-------|------
       |       |      
       | 5     | 6    
       |       |     5
